Recipe ID,Recipe Name,Recipe Information,ingredients,Image URL,,
118,Chicken Shawarma Recipe,"To begin making the Chicken Shawarma Recipe we will first make the Pita bread.To make the Pita BreadFor the pita bread dough, in a bowl mix together yeast & sugar.Heat the milk until lukewarm and mix it with yeast and sugar.
Allow this to sit for a while till you notice bubbles rising.
This is when the yeast starts to activate.
Now add flour, salt and water slowly and combine to form a soft dough.
Keep kneading for at least 10 minutes on to a working surface and place it inside a big bowl.
Cover it with a damp cloth and rest the dough in a warm place, allowing it to rise and doubles its size.Marinade for the chickenIn a mixing bowl, add cumin powder, coriander powder, red chilli powder, black pepper powder, turmeric powder, ginger-garlic paste and olive oil.
Combine everything well.Add in the chicken pieces and mix them well till it is nicely coated.
Marinate the chicken pieces for at least 30 minutes.Meanwhile pickle the cucumber, tomatoes and carrots.
In a separate bowl, add chilli vinegar, salt and sugar and the vegetables.
Keep it aside.Make the Tzatziki Recipe - A Greek Yogurt Dip and Classic Homemade Hummus Recipe With Lemon And Coriander and keep aside.
Check on the bread dough, knock out the all the air by kneading it once again.
Make small sized dough balls.Dust some flour on to your surface and with the help of the rolling pin start rolling one of the ball to a circle shaped flat bread.
The bread should not be rolled too thin and it has to big enough to stuff the chicken and roll it up to form a roll.Heat a flat skillet, on medium flame and cook the rolled out bread on both sides until you see small brown spots.
Do the same for the rest of the dough and keep the bread aside as you move ahead to cook the chicken.Heat a pan with oil, add chicken pieces and keep turning them over as they are getting cooked and charred on all the side.
This will take about 20 minutes to cook.Assembling the Chicken ShawarmaTake one square of parchment paper and place one cooked pita bread, and spoon in 2 tablespoons of hummus evenly, and a tablespoon of the tzatziki dip as well.
Place one cucumber, carrot and tomatoes julienne in the middle.
Then place some cooked chicken pieces, add chopped onion and roll it tightly along with the parchment paper and pack both ends of the paper into the roll if you want it as a take away.Serve the Chicken Shawarma Recipe along with Summer Lettuce Salad Recipe to make it a complete meal for your Sunday lunch."," wheat flour, milk, carrot, tomato ,onion, cucumber, chicken ",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Chicken_Shwarma_Recipe_.jpg,,
119,Mushroom Paratha Recipe,"To begin making the Mushroom Paratha Recipe, take all the ingredients meant for dough into a large mixing bowl.
Add a little water at a time to make a soft and smooth dough.
Cover the dough 30 minutes until we get the filling ready.
Next we will proceed to make the mushroom stuffing for the paratha recipe.Heat oil in a wok or a kadai on medium heat.
Add the cumin seeds and allow it to crackle.
 Once the cumin seeds crackle, add onion and saute until the onions turns pinkish in colour.Add the chopped green chilies, chopped chopped mushrooms and salt to taste.
Stir fry on high heat until most of the moisture from the mushrooms is evaporated.
Once the mushrooms have shrunk in size and the moisture has evaporated, add the garam masala and turmeric powder and give it a stir for a few minutes and turn off the heat.Allow the mushroom paratha stuffing mixture to cool completely.Divide the dough into 5 equal portions.
We will now proceed to make the stuffed mushroom paratha.
To begin making the paratha, keep a plate of dry flour for dusting.We dust the dough in flour, flatten it with your finger and place it on a flat surface.
Roll them out thin to approximately 3 inches in diameter circle.Take a portion of the mushroom filling and place it in the center.
Next Gather the sides of the dough and bring them together.
Remove the little excess dough which popped out when you brought them together.
Press the filled dough down.Dust the filled dough in some flour and roll it gently applying just a pressure.
Roll it to desired thickness and proceed the similar way with the remaining portions of dough and filling.Preheat a Skillet/Tava on medium heat and place the filled Mushroom Paratha.
Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Add this stage add a teaspoon of ghee or oil and spread it around.
Flip again, so the oiled side can cook on the skillet.
Spread a little more ghee and keep pressing the parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly.
Make sure you cook on medium heat as it allows the parathas to get a crisp on the outside and yet soft texture.Once the paratha is cooked transfer to a plate.
Continue to the same process with the remaining Mushroom Parathas the same way.Serve the Mushroom Parathas along with a spicy mango pickle for breakfast or a sunday brunch.","wheat flour, onion,  mushrooms",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Mushroom_Paratha.jpg,,
120,Palak Chana Dal Recipe ,"To begin making the Palak Chana Dal recipe, pressure cook the soaked chana dal with 3 cups of water, salt and turmeric powder for 5 to 6 whistles and turn off the heat.
Allow the pressure to release naturally.Add the palak (spinach leaves) along with 2 tablespoons of water, salt into a pressure cooker and cook for 1 whistle.
Turn off the heat and release the pressure immediately to retain the green color of the spinach.Heat ghee in a heavy bottomed pan and add cumin seeds.
Once cumin seeds start to crackle, add asafoetida.After 30 seconds, add dry red chillies and saute for few seconds.Next add ginger garlic paste and saute for a few seconds.Now, add chopped onions and green chillies, saute it until onion turns to golden brown in colour.Add chopped tomato and cook them until they become soft.Add turmeric powder, red chilli powder, cumin powder and salt to taste but remember we have already added salt while boiling dal and spinach.Mix all dry spices with tomato onion mixture and cook it on medium heat for 1-2 minutes until mixture starts releasing ghee.This will take about 3 to 4 minutes.After 3 to 4 minutes, add the cooked chana dal and palak (spinach leaves), mix everything well.Cook the Palak Chana Dal for next 4 to 5 minutes on low heat and turn off the heat.
Check the salt and spices and adjust according to taste.
Transfer the Palak Chana Dal to a serving bowl and serve hot.Serve Palak Chana Dal along with Bharli Bhendi, Boondi Raita and Phulka for an everyday meal.
You can also pack this dal for your Lunch Box.","tomato, chana dal  onion, spinach leaves",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Palak_Chana_Dal.jpg,,
121,Pasi Paruppu Kosumalli Recipe,"We begin making Pasi Parupu Kosumalli Recipe (Spiced Lentil Salad Recipe) by washing and soaking the dal for half an hour.
Drain the water.Keep all the vegetables prepped and set it aside.Heat the skillet with oil and temper it with mustard seeds, asafoetida, green chillies, and curry leaves.
Add it to the mixed vegetables.Drain the dal and add it to the mixture with salt to taste and mix it thoroughly till the dal is evenly coated.Serve your fresh Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe) during lunch or relish it as a quick snack."," moong dal , coconut, carrot, cucumber",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-23/Moong_Dal_Cucumber_Salad_Pasi_Paruppu_Kosumalli_Recipe_Navratri_Gollu_Moong_Dal_Cucumber_Salad-Pasi_Paruppu_Kosumalli_Recipe__-1.jpg,,
122,Maharashtrian Style Semolina and Yogurt Cake Recipe,"To begin making the Semolina and Yogurt Cake, mix the semolina, saffron and yogurt in a container and rest it for about 1 hours.Meanwhile pre heat the oven to 120 degree Celsius for about 10 minutes.Add the cardamom powder, baking powder, sugar, the whole nuts and raisins and mix well.Grease your baking dish with ghee and add the batter and bake the cake for about 15 minutes.Serve the Maharashtrian Style Semolina and Yogurt Cake after nice meal of Maharashtrian Narali Bhaat, Raw Mango Raita Recipe to enjoy you meal with a sweet note at the end."," saffron strands, curd,  sooji",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Maharashtrian_Style_Semolina_and_Yogurt_Cake_Recipe.jpg,,
123,Ragi Masala Roti Recipe,"To begin making Ragi Masala Roti Recipe prep all the ingredients required.In a large mixing bowl add all the ingredients, ragi flour, onions, chopped green chillies, dill leaves, coriander leaves, grated carrots and salt,and then mix everything together.Add water little at a time to form a soft Ragi Masala Roti dough.Keep kneading for five minutes till the texture of the dough changes and becomes softer.
Bring it all together and cover the Ragi Masala Roti dough and keep aside for 15 minutes.Divide the dough into equal portions.Take a Ragi Masala Roti dough ball and place it on the center of a wet muslin cloth.Using wet flatten the ball with your palms.
Continue pressing the dough until the Ragi Masala Roti has attained a round shape.
Place the Ragi Masala Roti by inverting the cloth on a heated iron skillet and cook on one side and turn over gently with a flat spatula to the other side.Drizzle ghee and cook the Ragi Masala Roti on both sides until it is lightly browned with golden spots and crisp.Serve Ragi Masala Roti Recipe with Hurali Saaru, Keerai Masiyal and Methi Raita Flavoured With Garlic for a diabetic friendly meal.","dill leaves, carrot, ragi flour, onion",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/ragi_masala_roti/Ragi_Masala_Roti_Recipe_40_1600.jpg,,
124,Dry Sweet Potato Thoran Recipe,"To begin making the Dry Sweet Potato Thoran Recipe, wash and trim the edges of sweet potatoes.
Pressure cook in enough water for 1 whistle over medium flame.
After the pressure is released, peel the skin and cut into roundels and keep it aside.Heat oil in a heavy bottomed pan, add mustard seeds and urad dal.
When the mustard seeds splutter, add curry leaves.
Later add chopped onion and saute till soft and translucent.Add the sliced sweet potato to the pan and toss them gently.
Add turmeric powder, salt and rasam powder.
Mix everything so that sweet potato slices are well coated.Keep the flame on low, close with a lid and let it cook over low flame.
Mix in between.
The mixture should cook from the steam released by it.When the sweet potato is cooked, sprinkle gram flour and toss gently such that it gets coated well.
Add 1-2 teaspoon of oil and let the raw banana pieces get nicely fried on low flame .Let it cook for 5-7 minutes for all the flavors to absorb.
Take off stove and serve hot.Serve Dry Sweet Potato Thoran along with Mixed Vegetable Sambar and Steamed Rice for a weekday meal."," urad dal , onion, potato",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Dry_Sweet_Potato_Thoran.jpg,,
125,Oreo Milkshake Recipe,"To begin making Oreo Milkshake Recipe prep up to make Oreo milkshake with all the ingredients mentioned.
Take a powerful hand blender to blend everything.Blend Oreo biscuits, milk, ice cream and chocolate syrup until everything very well combined and smooth textured.Pour into glasses, top it up with some whipped cream and chocolate syrup for garnishing and serve immediately.Serve Oreo Milkshake along With Grilled Mushroom Sandwich to kids for their after school snacks.","chocolate sauce, cream, oreo biscuits, milk, scoops, vanilla ice",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/oreo-milkshake-recipe.jpg,,
126,Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,"To begin making the Mexican Grilled Corn With Del Monte cheesy garlic mayonnaise recipe, Pull the husk on the corn and tie them back.Rub butter generously on all the cobs.
Next spread DelMonte cheesy garlic mayonnaise on all sides of the corn.Sprinkle paprika powder evenly over the cob.
Now grill the corn in oven or a charcoal grill turning occasionally until corn is fully cooked and lightly charged.Remove corn from the grill; rub fresh lime over the corn.
Sprinkle some fresh coriander leaves.
Sprinkle parmesan cheese and serve the Mexican Grilled Corn With Del Monte cheesy garlic mayonnaise immediately.Serve Mexican Grilled Corn With Del Monte Cheesy Garlic Mayonnaise on its own with a cup of hot Masala Chai on a rainy day or as a tea time snack.","  corn,  cheese, del monte cheesy garlic mayo",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/3_main_Mexican_Grilled_Corn_With_Cheesy_Garlic_Mayo1.jpg,,
127,Paneer Matar Butter Masala Recipe,"To begin making the Paneer Matar Butter Masala recipe, first shallow fry the paneer cubes in 1 to 2 tablespoons of oil in a wide pan until it is slightly golden/ creamy golden and keep it aside.The next step is to prepare the masala/gravy.
Heat butter/clarified butter in a large heavy bottomed pan, add onions and peas/matar.Sauté until onions & peas/matar till the onions turn transparent.
Add ginger and garlic and stir for 1 to 2 minutes.Add whole dry red chilies, cloves, cardamom, cinnamon, whole black peppercorns and coriander seeds (that is all the whole spices) and stir a few times.Add tomatoes and cook until tomatoes turn soft and mushy.
Remove from heat and keep aside to cool a little.Puree this entire mixture along with 1/4 cup of cashews until smooth, adding a little water if required.Transfer this gravy back to the wide pan and place on heat.
Add shallow fried paneer pieces to the gravy, add salt to taste, sugar, kasuri methi, chili powder (if using), water if required to achieve desired consistency and simmer on low heat for the flavors to mingle.Finally add milk, mix well, allow the curry to simmer for another minute or so on low heat, then remove.Serve Paneer Matar Butter Masala with Phulkas or even steamed rice for a delicious weekday meal.","tomato, cashew nuts, paneer, cardamom (elaichi) podsseeds, milk, green peas (matar), onion red, cloves garlic, cinnamon stick (dalchini), kasuri methi (dried fenugreek leaves)",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Alamelu_Manickam_/Paneer_Matar_Butter_Masala__Indian_Cottege_Cheese_and_Peas_Masala_With_Butter.jpg,,
128, Baingan Recipe ,"To make Dhugare Brinjal Recipe, first take an eggplant and roast it directly on the gas.
When the eggplants are not removed from the upper layer, they can continue.
Once done, turn off the gas and remove the top layer from the eggplant.
Now mash the brinjals and put them in a pot.
Now add curd, onion, green chilli, cumin powder, garam masala powder, red chili powder, salt and mix.
Keep it aside.
Now keep a piece of coal on the gas and keep it on high flame till it becomes red.
After the coal is roasted, place it in a bowl and cover it with eggplant pot.
Open after 3 to 5 minutes, remove the coal and mix.
Garnish with green coriander and serve.
Serve Dhugare Brinjal Recipe with Sabz Pulav, Garlic Naan and Punjabi Dal Tadka for your dinner."," eggsplant,groundnut paste",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Dhungare_Baigan_Recipe_5_1600.jpg,,
129,Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,"To begin making the Sukhe Gatte Capsicum Ki Sabzi Recipe we will first make the gatte.In a large mixing bowl, combine all the ingredients for the gatta.
Add a few teaspoons of water at a time and knead to make a firm dough.Knead well for about 5 minutes to make a very soft melt in the mouth gatta.
If you add more water and it does not shape into a dough, then you will have to add more gram flour and knead it well.Roll the dough into a long cylinder and cut them into 1 inch discs.
The next step is to cook the gattas in boiling water.In a large saucepan boil water.
Once the water comes to a brisk boil, add the gattas into the water and boil until they comes floating to the top.
Once they come floating to the top, boil for another 3 to 4 minutes.
Drain the gattas and keep it aside.To make the Sabzi, in a sauce pan add oil, add cumin seeds and asafoetida, allow the cumin seeds to crackle for few seconds.Once that is done, you can add chopped bell peppers (Capsicum) and saute until the capsicum become slightly soft.Turn the heat to low, add red chili powder, turmeric powder, garam masala, coriander powder, amchoor and salt.Add the cooked gattas at this stage, mix well to combine and sprinkle some water and cook until the raw smell of spice goes away.Saute for another 10 minutes and switch off the heat and garnish with coriander leaves and serve hot.Serve the Sukhe Gatte Capsicum Ki Sabzi Recipe along with Kadhi Pakoras , Mooli Paratha and Kadai Paneer Recipe to make it a rich meal for your Sunday lunch.","gram flour , capsicum,curd,amchur",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Rajasthani_Style_Sukhe_Gatte_Capsicum_Ki_Sabzi_Recipe.jpg,,
130,Indo Chinese Crispy Chicken Chilli Recipe,"To begin making the Indo Chinese Crispy Chicken Chilli recipe, firstly let us marinate the chicken.
In a mixing bowl, combine, black pepper powder, soy sauce, red chilli sauce, corn flour, and maidaAdd a little water to make it a smooth batter.
Make sure that the batter is neither too thick nor too runny.The next step is to coat the chicken pieces in the batter for the Indo Chinese Crispy Chicken Chilli recipe.Once they are coated well, deep fry them on medium-high  in a deep fry pan.
Drain them on a tissue paper to absorb the extra oil.
Keep them aside.Heat oil in a wide skillet on medium flame, add ginger, garlic and green chillies.
Saute it for about a minute.After a minute, add onion, green bell pepper and salt.
Toss them on high flame.
Do not over cook, as we want the crunchiness in the vegetables.Now bring the flame back to medium and add soy sauce, vinegar, salt, pepper powder, green chilli sauce, tomato sauce and red chilli sauce.
Again bring the flame to high and toss them properly.After 2 to 3 minutes, mix cornflour with 1 tablespoon water and add it to the veggies.
When its cooked, add the fried chicken pieces.Adjust the salt according to your taste and mix it properly so that the chicken pieces are well coated with the prepared sauce.Once it is done, switch off the stove and Indo Chinese Crispy Chicken Chilli ready to be served.Serve Indo Chinese Crispy Chicken Chilli with Hakka Noodles or Szechuan Vegetarian Fried Rice for a weekend dinner with your friends and family.","corn flour, soy sauce, green chilli sauce, chicken, onion, vinegar,capsicum, tomato ,flour, red chilli sauce",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/chicken_chilli_1600.jpg,,
131, Fish soup recipe ,"To begin making the Aar Macher Jhol Recipe, wash and clean fish pieces twice with water.
Ensure they are properly cleaned.Add salt and turmeric powder to the cleaned fish pieces.
Marinate it and set aside.Leave the fish marination for about 2 hours.In a heavy bottomed pan, add the required oil and heat over medium heat.
Fry the fish pieces and fry until they turn lightly brown.
The fish pieces should be half cooked.In the medium sized wok/kadhai, add the remaining oil and heat over medium heat.Once the oil is hot, add cumin seeds and bay leaf.
Let it crackle.Add chopped tomatoes and cook until they become mushy.
To the mushy tomatoes, add red chilli powder, coriander powder and ginger garlic paste.Cook until the raw smell goes off and the spice powders are absorbed by the tomatoes.
Add water as per your required consistency and bring it to boil.Once the water starts boiling, add the fried fish pieces and cook them over low flame.Slit the green chillies and add them to the curry.
Once the fishes are cooked completely and the curry reaches required consistency, season it with salt and switch off the flameEnsure the curry is cooked over medium flame once the fish pieces are added.
If fish is overcooked, it might dissolve in the curry.Garnish with coriander leaves and serve warmly.
Prepare Aar Macher Jhol and serve it along with Steamed Rice and Begun Bhaja for your everyday meals.","tomato,fish",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Aar_macher_Jhol.jpg,,
133,Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,"To begin making the Crispy Masala Peanuts recipe, First we need to take a big bowl, mix together peanuts, gram flour, rice flour, red chilly powder, coriander powder, chat masala, water, black pepper powder, oil and salt to tasteMix all nicely using little water.Remember add less water and making sure the spices and flour stick to the peanuts uniformly.Heat the oil in a kadai/wok on medium heat.
Fry the peanuts until they turn golden brown.When they are done, take them out from the oil and place them on a absorbent paper.At this time these are not much crispy but after cooling to room temperature, the peanuts should be crispy.Now Crispy Masala Peanuts are ready, sprinkle some chat masala with dry mint and serve.Serve Crispy Masala Peanuts along with Masala Chai during your tea time break.
You can also serve it as a snack with your drinks for house parties."," gram flour, peanuts , rice flour",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Roop/Crispy_Masala_Peanuts_or_Gujrati_Sing_Bhujia.jpg,,
134, Black Urad  Ki Dal (Recipe),"To make Maa Dal, first wash and soak the lentils and beans for 2-3 hours in water.
Now heat 5 cups of water in a pan.
Add dal and rajma to it and let it cook till it becomes soft.
Allow to cook for 2 to 3 hours, which increases its taste even more.
Then add tomatoes and ginger to it.
Mash it a little bit.
Now heat ghee in a tempering pan.
Add cumin seeds and cook till it turns brown.
Now add all the dry spices and cook for 1 minute.
Add this tempering to the dal and let it boil.
Cook for 10 to 15 minutes and serve hot.
Serve Maa Dal with Lacha Paratha and Sew Tomato Vegetable for dinner.","tomato,  kidney beans, black urad dal ",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Monika_Manchanda/Maa_Ki_Daal_1600.jpg,,
135,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,"To begin making the Palak Mushroom Makhani Recipe, we will first steam the washed and chopped spinach.Add the chopped spinach, tomatoes, green chillies, ginger and garlic into the pressure cooker, add 2 tablespoons water and pressure cook for one whistle.
After the first whistle, release the pressure immediately by running it under cold water.
This helps to retain the fresh green color of the spinach/ palak.Once cooked allow the palak to cool completely and then pulse it in your blender, with almost no water.
You can also choose to mash the spinach with a masher to give it a different texture as well.Melt the ghee in a frying pan on medium heat; add cumin seeds and the cinnamon stick.
Saute the ingredients for a few seconds.
 Stir in the turmeric powder and sauté for a few seconds and add the mushrooms.Roast the mushroom, along with a little salt until just about cooked.
Stir in the garam masala as well and saute for a few seconds.Once the mushrooms are cooked, add the cooked palak puree, the fresh cream, any more salt if required.
Give the Palak Mushroom Makhani a brisk boil for about 2 to 3 minutes and turn off the heat.
Transfer the Palak Mushroom Makhani to as serving bowl and serve hot.Serve the Palak Mushroom Makhani Recipe along with hot Phulkas smeared with ghee, Jeera pulao and a raita for lunch or dinner.
You can also pack the Palak Mushroom Makhani Recipe along with Phulkas into a kids lunch box.","tomato, cumin powder (jeera), button mushrooms, cloves garlic, cinnamon stick (dalchini), spinach leaves (palak)",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Palak_Mushroom_Gravy_Recipe_Spinach_Mushroom_Curry_.jpg,,
136,Dahi Bhalla Papdi Chaat Recipe,"To begin making the Dahi Bhalla Papdi Chaat, you can either use the puri's or papdi.
We will be making a plate at a time.In a flat plate or a bowl; arrange the papdis or puri's.
Add the dahi bhalla over the papdi or into the puri.
If your bhalla's are large, then break them into small pieces and add them.
Pour some of the dahi as well.
Next drizzle the date chutney and the green chutneys around each of the papdi/ puri's.
Sprinkle chaat masala powder and the cumin powder.
Next sprinkle the grated carrots, pomegranates and the crisp boondi/sev.Finally sprinkle the onions and the chopped coriander leaves.
The chaat is now ready to be served.
Proceed the same way with the remaining Bhalla's and Papdi.Serve the Dahi Bhalla Papdi (Puri) Chaat Recipe as an Appetizer or as as Tea Time Snack to fill your hunger craving."," curd vada,  boondi sev,  tamarind, carrot, onion, peanuts , papdi puris, green chutney",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Bhalla_Puri_Recipe-1.jpg,,
138,Chole Masala Recipe,"To make Chole Masala, first of all, cook Kabuli Chana in a pressure cooker till 3 years.
Take water out of it and keep it aside.
Now heat oil in a pan and add cumin seeds.
After 10 seconds, add ginger to it and cook for 30 seconds.
Now add chola masala, red chilli powder, mango powder, turmeric powder, coriander powder, cumin powder and salt.
Cook for 1 to 2 minutes and then add the cooked gram.
Mix well and cook for another minute.
Turn off the gas and garnish with green coriander.
Serve Chole Masala with Puri and Tomato Onion Cucumber Raita.","  channa , chana masala powder",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Dry_Chole_recipe_1600.jpg,,
139,Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,"To make Rajasthani kachri chutney, firstly peel and cut the kachri.
Taste them before making and see that it is not sour.
In a mixer grinder, add kachri, garlic, dry red chilli, cumin, salt and curd.
Grind it well.
If too thick, add a little more curd and grind again.
Now heat the ghee in a tempering pan.
Add cumin seeds and let it cook for 10 seconds.
Add the crushed kachri mixture to it and mix.
Serve.
Serve Rajasthani kachri chutney with panchamel dal, sev tomato vegetable, spinach raita and phulka for dinner."," curd, kachris",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/kachri_ki_chutney_recipe_new.jpg,,
140,Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,"To make Aloo Paneer Curry, firstly grind tomatoes, ginger and green chillies in a blender.
Keep it separately.
Heat the oil in a pressure cooker and add grated ginger to it.
Cook it for 1 minute.
Add tomato puree to it and cook for at least 10 minutes.
Now add red chili powder, coriander powder and salt.
Cook it well for the next 5 minutes.
Add potatoes and cook for 2 minutes.
After 2 minutes add 2 cups of water and roasted cumin seeds.
Close the cooker and cook till one city comes.
After coming to a city, turn off the gas and let the pressure drain.
Open the cooker and let the curry boil.
Add pieces of pannaer, cook for 2 minutes and garnish with green coriander.","tomato, cheese,  potato, ",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Neha_Kaushal/Potato_Paneer_curry_without_Onion_and_Garlic_Vrat_wale_aloo_paneer.jpg,,
139,Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,"To make Rajasthani kachri chutney, firstly peel and cut the kachri.
Taste them before making and see that it is not sour.
In a mixer grinder, add kachri, garlic, dry red chilli, cumin, salt and curd.
Grind it well.
If too thick, add a little more curd and grind again.
Now heat the ghee in a tempering pan.
Add cumin seeds and let it cook for 10 seconds.
Add the crushed kachri mixture to it and mix.
Serve.
Serve Rajasthani kachri chutney with panchamel dal, sev tomato vegetable, spinach raita and phulka for dinner.","cloves garlic, curd, kachris",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/kachri_ki_chutney_recipe_new.jpg,,
140,Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,"To make Aloo Paneer Curry, firstly grind tomatoes, ginger and green chillies in a blender.
Keep it separately.
Heat the oil in a pressure cooker and add grated ginger to it.
Cook it for 1 minute.
Add tomato puree to it and cook for at least 10 minutes.
Now add red chili powder, coriander powder and salt.
Cook it well for the next 5 minutes.
Add potatoes and cook for 2 minutes.
After 2 minutes add 2 cups of water and roasted cumin seeds.
Close the cooker and cook till one city comes.
After coming to a city, turn off the gas and let the pressure drain.
Open the cooker and let the curry boil.
Add pieces of pannaer, cook for 2 minutes and garnish with green coriander.","tomato,  cheese,  potato",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Neha_Kaushal/Potato_Paneer_curry_without_Onion_and_Garlic_Vrat_wale_aloo_paneer.jpg,,
142,Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),"We begin by baking Kara Obbattu Recipe(Bread Stuffed with Spicy Potato Mixture Recipe) the dough by combining all the ingredients with curd and soak it for 10 minutes then knead with enough water till it is soft and stretchy.
Add oil for a good binding.For the filling heat the pan with oil and temper with cumin and curry leaves.
Then add the rest of the ingredients except boiled potato and the spice powders.Once the onions are translucent add the spice powders.
Then add the mashed potato and combine it together, finally add some coriander leaves.
Bind them and make small balls and keep it aside.Make small balls and divide the dough equally.Keeping a little flour for dusting handy on a plate; roll out the dough into 3 inch diameter circles.
Place a portion of the filling (potato) mixture into the center of the circle.
Bring edges of the circle towards the center and fold over to cover the entire filling; making sure the edges are all sealed well by pinching them together if there is any opening.Flatten the stuffed dough; dust the dough over a little flour and roll gently into a 5 to 6 inch diameter circle taking care not to put too much pressure as the filling can come out of the dough.Preheat an iron skillet on medium-high; place the rolled obbattu onto the skillet to cook until golden brown on both sides.
You can cook the obbattu with ghee to give it a richer taste and flavor.Repeat the above process for all the remaining dough and filling portions.Serve the Karnataka style Kara Obbattu hot with ghee smeared on the top, or with allam pachadi recipe","wheat flour,  curd, onion, potato , sooji , flour ",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-23/Spicy_Masala_Kara_Obbattu_Recipe_South_Indian_Style_Savory_Potato_Bread_Puran_Poli-5.jpg,,
143,Cauliflower Matar Bhurji (Recipe in Hindi),"To make cabbage pea bhurji, first boil water.
Add cabbage pieces to it and keep it aside for 10 minutes.
Remove water from it and finely chop it.
Now put it in the food processor and bark at once.
Now heat oil in a pan.
Add grated cauliflower and fry it for 5 minutes.
Keep it separately.
Now heat oil in another pan and add finely chopped onions.
Cook till the onion becomes soft and then add ginger garlic paste.
Cook for 1 minute and then add tomatoes to it.
Cook till the tomatoes are soft and then add peas, turmeric powder, red chili powder and salt.
Let it cook for 5 minutes.
Cover the pan and cook until the cauliflower is cooked.
Add some garam masala, mix and serve hot.
Serve cabbage peas bhurji with dal fry and tawa paratha for dinner.","tomato, onion, green pea, cabbage",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Cauliflower_Bhurji_with_Matar.jpg,,
